Гос. знак,"Марка, модель",VIN,Собственник,Топливо,Спец техника,Объем топливного бака,Норма расхода
Н683ВН761,Fiat Ducato,ZFA250000M2R78630,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,90,16
В386ХС799,Fiat Ducato,ZFA250000M2R94121,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,90,16
Н695ВН761,Fiat Ducato,ZFA250000M2R33983,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,90,16
Н425ВЕ761,Fiat Ducato,ZFA250000M2R83384,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,90,16
Н468ВЕ761,Fiat Ducato,ZFA250000M2R83389,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,90,16
Х600ТХ799,Fiat Ducato,ZFA250000M2R30840,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,90,16
К315НК134,Fiat Ducato,ZFA250000M2R93549,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,90,16
А939ОУ51,Ford Transit,WF0YXXXGYS72529,Горчаков Дмитрий Александрович,Дизельное топливо,Нет,80,16
Х074АВ193,Hyundai Creta,Z94G2811BLR248107,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
Е996ТН799,Hyundai Creta,Z94G2811BMR255030,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
О324АА193,Hyundai Creta,Z94G2811BLR247074,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
К071АЕ193,Hyundai Creta,Z94G2811BLR247137,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
У460ОМ799,Hyundai Creta,Z94G2811BKR194840,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
О581ХК123,Hyundai Creta,Z94G2811BKR181246,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
У031ТО799,Hyundai Creta,Z94G2811BMR253152,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
У047ТО799,Hyundai Creta,Z94G2811BMR253624,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
Р270АТ799,Hyundai Creta,Z94G2811BMR252973,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
О647АТ761,Hyundai Creta,Z94G2811BLR246766,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
Е970ОК198,Hyundai Creta,Z94G2811BMR284990,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
Х069АН193,Hyundai Creta,Z94G2811BMR276139,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
У050ТО799,Hyundai Creta,Z94G2811BMR285123,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
В158ХН799,Hyundai Creta,Z94G2811BMR327439,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
О403СХ799,Hyundai Creta,Z94G2811BLR240157,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
О452АА193,Hyundai Creta,Z94G2811BLR246715,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
К051АЕ193,Hyundai Creta,Z94G2811BLR246287,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
О650АТ761,Hyundai Creta,Z94G2811BLR246764,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
Т537АЕ193,Hyundai Creta,Z94G2811BMR252713,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
Т545АЕ193,Hyundai Creta,Z94G2811BMR252980,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
Р369ТХ799,Hyundai Creta,Z94G2811BMR276145,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
Р349ТХ799,Hyundai Creta,Z94G2811BMR276250,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
К601РХ799,Hyundai Creta,Z94G2811BMR292481,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
E148PK198,Hyundai Creta,Z94G2811BLR245802,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
Е055РК198,Hyundai Creta,Z94G2811BLR245971,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
К121СО799,Hyundai Creta,Z94G2811BMR306060,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
О711СХ799,Hyundai Creta,Z94G2811BLR245803,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
О707СХ799,Hyundai Creta,Z94G2811BLR241694,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
А500НО702,Hyundai Creta,Z94G2811BLR247537,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
У072ТО799,Hyundai Creta,Z94G2811BMR252946,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
Е205РК198,Hyundai Creta,Z94G2811BLR246136,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
А978УТ702,Hyundai Creta,Z94G2811BMR306095,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,55,10
Е585АК797,Lada Largus,XTARS035LL1293028,ФЭИРВИНД РУС ООО,Автомоб. бензин АИ-95,Нет,55,10.7
Е589АЕ797,Lada Largus,XTARS045LL1297572,ФЭИРВИНД РУС ООО,Автомоб. бензин АИ-95,Нет,55,10.7
К599РЕ799,MITSUBISHI L 200,MMCJJKL10KH018768,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
К456РЕ799,MITSUBISHI L 200,MMCJJKL10KH018769,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
К937РЕ799,MITSUBISHI L 200,MMCJJKL10KH018778,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
О783ВО761,MITSUBISHI L 200,MMCJJKL10MH001677,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
О696ВО761,MITSUBISHI L 200,MMCJJKL10MH001621,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
К007НМ134,MITSUBISHI L 200,MMCJJKL10MH001818,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
О760ВО761,MITSUBISHI L 200,MMCJJKL10MH001623,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
О729ВО761,MITSUBISHI L 200,MMCJJKL10MH001626,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
О768ВО761,MITSUBISHI L 200,MMCJJKL10MH001676,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
К002НМ134,MITSUBISHI L 200,MMCJJKL10MH001821,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
С935ОК799,MITSUBISHI L 200 2.4,MMCJJKL10KH011626,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
Н770ОХ799,MITSUBISHI L 200 2.4,MMCJJKL10KH010824,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
Н848ОХ799,MITSUBISHI L 200 2.4,MMCJJKL10KH010761,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
Н990ОХ799,MITSUBISHI L 200 2.4,MMCJJKL10KH012171,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
Н059РХ799,MITSUBISHI L 200 2.4,MMCJJKL10KH018777,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
К677РЕ799,MITSUBISHI L 200 2.4,MMCJJKL10KH018767,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
Н199РХ799,MITSUBISHI L 200 2.4,MMCJJKL10KH018771,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
В294ХС799,MITSUBISHI L 200 2.4,MMCJJKL10MH001203,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
К337ХН799,MITSUBISHI L 200 2.4,MMCJJKL10MH001214,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
К165ХН799,MITSUBISHI L 200 2.4,MMCJJKL10MH001083,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
К298ХН799,MITSUBISHI L 200 2.4,MMCJJKL10MH000982,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
Т103ХР799,MITSUBISHI L 200 2.4,MMCJJKL10MH001747,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
Т015ХР799,MITSUBISHI L 200 2.4,MMCJJKJ10MH001756,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
К583РЕ799,MITSUBISHI L 200 2.4,MMCJJKL10KH019975,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
Н412РХ799,MITSUBISHI L 200 2.4,MMCJJKL10KH018770,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
В075ХС799,MITSUBISHI L 200 2.4,MMCJJKL10MH001124,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
О440СХ799,Nissan X-Trail,Z8NTANT32ES114439,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,65,11
E327HH198,Nissan X-Trail,Z8NTANT32ES108895,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,65,11
В665РМ763,Nissan X-Trail,Z8NTANT32ES108813,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,65,11
Н083АМ193,Nissan X-Trail,Z8NTANT32ES108814,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,65,11
Н058АМ193,Nissan X-Trail,Z8NTANT32ES108815,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,65,11
В623МВ763,Renault Arkana,X7LRJC4D563932394,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
Н629ВН761,Renault Arkana,X7LRJC4D067069660,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
B270XC799,Renault Duster (2.0),X7LHSRHGN66738595,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
B168XC799,Renault Duster (2.0),X7LHSRHGN66738733,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
B284XC799,Renault Duster (2.0),X7LHSRHGN66738706,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
К760ТК198,Renault Duster (2.0),X7LHSRHGN66738760,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
К719ТК198,Renault Duster (2.0),X7LHSRHGN66738763,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
К774ТК198,Renault Duster (2.0),X7LHSRHGN66738773,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
К819ТК198,Renault Duster (2.0),X7LHSRHGN66738745,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
К898ТК198,Volkswagen Crafter,WV1ZZZSYZM9047547,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,14
1,Погрузчик телескопический Manitou 1740 (157 1 16 081),1,АПС ООО,Дизельное топливо,Да,120,7.9
2,Погрузчик телескопический Manitou МТ 1740 SLT (157 1 13 208),2,АПС ООО,Дизельное топливо,Да,120,7.9
4,Погрузчик телескопический Manitou МТ 1740 SLT (157 2 16 003),4,АПС ООО,Дизельное топливо,Да,120,7.9
5,Погрузчик телескопический Manitou МТ 1740 SLT (902247),5,АПС ООО,Дизельное топливо,Да,120,7.9
6,Погрузчик телескопический дизельный JCB 540-170 (157 1 17 009),6,АПС ООО,Дизельное топливо,Да,90,7.9
3,Погрузчик телескопический дизельный JCB 540-170 (157 1 17 030),3,АПС ООО,Дизельное топливо,Да,90,7.9
М202УХ799,Kia SP2 (Seltos),XWEE2811DMC000416,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
С814УК799,Kia SP2 (Seltos),XWEE2811DMC000324,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
О204ВО761,Kia Sportage,XWEPH81AD0059570,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,62,10
О204ВО761,Kia Sportage,XWEPH81AD0050091,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,62,10
Е585АК797,Lada Largus,XTARS035LL1293028,ФЭИРВИНД РУС ООО,Автомоб. бензин АИ-95,Нет,55,10.7
Е589АЕ797,Lada Largus,XTARS045LL1297572,ФЭИРВИНД РУС ООО,Автомоб. бензин АИ-95,Нет,55,10.7
К599РЕ799,MITSUBISHI L 200,MMCJJKL10KH018768,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
К456РЕ799,MITSUBISHI L 200,MMCJJKL10KH018769,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
К937РЕ799,MITSUBISHI L 200,MMCJJKL10KH018778,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
О783ВО761,MITSUBISHI L 200,MMCJJKL10MH001677,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
О696ВО761,MITSUBISHI L 200,MMCJJKL10MH001621,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
К007НМ134,MITSUBISHI L 200,MMCJJKL10MH001818,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
О760ВО761,MITSUBISHI L 200,MMCJJKL10MH001623,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
О729ВО761,MITSUBISHI L 200,MMCJJKL10MH001626,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
О768ВО761,MITSUBISHI L 200,MMCJJKL10MH001676,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
К002НМ134,MITSUBISHI L 200,MMCJJKL10MH001821,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
С935ОК799,MITSUBISHI L 200 2.4,MMCJJKL10KH011626,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
Н770ОХ799,MITSUBISHI L 200 2.4,MMCJJKL10KH010824,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
Н848ОХ799,MITSUBISHI L 200 2.4,MMCJJKL10KH010761,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
Н990ОХ799,MITSUBISHI L 200 2.4,MMCJJKL10KH012171,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
Н059РХ799,MITSUBISHI L 200 2.4,MMCJJKL10KH018777,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
К677РЕ799,MITSUBISHI L 200 2.4,MMCJJKL10KH018767,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
Н199РХ799,MITSUBISHI L 200 2.4,MMCJJKL10KH018771,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
В294ХС799,MITSUBISHI L 200 2.4,MMCJJKL10MH001203,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
К337ХН799,MITSUBISHI L 200 2.4,MMCJJKL10MH001214,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
К165ХН799,MITSUBISHI L 200 2.4,MMCJJKL10MH001083,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
К298ХН799,MITSUBISHI L 200 2.4,MMCJJKL10MH000982,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
Т103ХР799,MITSUBISHI L 200 2.4,MMCJJKL10MH001747,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
Т015ХР799,MITSUBISHI L 200 2.4,MMCJJKJ10MH001756,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
К583РЕ799,MITSUBISHI L 200 2.4,MMCJJKL10KH019975,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
Н412РХ799,MITSUBISHI L 200 2.4,MMCJJKL10KH018770,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
В075ХС799,MITSUBISHI L 200 2.4,MMCJJKL10MH001124,БИЛАНТЛИЯ АО,Дизельное топливо,Нет,75,12
О440СХ799,Nissan X-Trail,Z8NTANT32ES114439,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,65,11
E327HH198,Nissan X-Trail,Z8NTANT32ES108895,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,65,11
В665РМ763,Nissan X-Trail,Z8NTANT32ES108813,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,65,11
Н083АМ193,Nissan X-Trail,Z8NTANT32ES108814,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,65,11
Н058АМ193,Nissan X-Trail,Z8NTANT32ES108815,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,65,11
В623МВ763,Renault Arkana,X7LRJC4D563932394,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
Н629ВН761,Renault Arkana,X7LRJC4D067069660,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
B270XC799,Renault Duster (2.0),X7LHSRHGN66738595,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
B168XC799,Renault Duster (2.0),X7LHSRHGN66738733,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
B284XC799,Renault Duster (2.0),X7LHSRHGN66738706,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
К760ТК198,Renault Duster (2.0),X7LHSRHGN66738760,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
К719ТК198,Renault Duster (2.0),X7LHSRHGN66738763,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
К774ТК198,Renault Duster (2.0),X7LHSRHGN66738773,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
К819ТК198,Renault Duster (2.0),X7LHSRHGN66738745,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,50,10
B712YM763,Kia Sportage,XWEPH81ADM0050091,БИЛАНТЛИЯ АО,Автомоб. бензин АИ-95,Нет,62,10
